group1	group2	p_value	effect_size	clin_feature	padjust	log10padjust	cancer	principal_component
Stage II	Stage IIIB	0.922	0.0194821625049799	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IIIC	0.704	0.0486734328448677	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IIIC1	0.282	0.148531223432151	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IIIC2	0.594	0.0742656117160756	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IV	0.19	0.226515168634733	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IVA	0.717	0.0697216688778397	clinical_stage	1	0	UCEC	PC2
Stage II	Stage IVB	0.535	0.0862439361864103	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IIB	0.368	0.221332000061022	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage III	0.071	0.707106781186547	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IIIA	0.691	0.0625173426447402	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IIIB	0.937	0.0462250163521024	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IIIC	0.445	0.129881083366533	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IIIC1	0.935	0.0211619477845242	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IIIC2	0.935	0.0211619477845242	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IV	0.257	0.404519917477945	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IVA	0.905	0.086066296582387	clinical_stage	1	0	UCEC	PC2
Stage IIA	Stage IVB	0.935	0.0211619477845242	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage III	0.8	0.0877058019307029	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IIIA	0.706	0.0539520234592655	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IIIB	1	0	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IIIC	0.99	0.00373300683394721	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IIIC1	0.216	0.213512869841014	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IIIC2	0.353	0.161577306906713	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IV	0.296	0.274617518190545	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IVA	0.704	0.117717738949355	clinical_stage	1	0	UCEC	PC2
Stage IIB	Stage IVB	0.353	0.161577306906713	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IIIA	0.794	0.0455676635360306	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IIIB	0.857	0.117851130197758	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IIIC	0.749	0.0627620556566792	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IIIC1	0.304	0.234520787991171	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IIIC2	0.355	0.21320071635561	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IV	0.533	0.377964473009227	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IVA	0.8	0.258198889747161	clinical_stage	1	0	UCEC	PC2
Stage III	Stage IVB	0.304	0.234520787991171	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IIIB	0.886	0.0240451317864386	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IIIC	0.673	0.0507506438765192	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IIIC1	0.353	0.119581264484901	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IIIC2	0.604	0.0672644612727568	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IV	0.417	0.129246065528299	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IVA	0.875	0.0290803363451153	clinical_stage	1	0	UCEC	PC2
Stage IIIA	Stage IVB	0.646	0.0597906322424505	clinical_stage	1	0	UCEC	PC2
Stage IIIB	Stage IIIC	0.953	0.0129881083366533	clinical_stage	1	0	UCEC	PC2
Stage IIIB	Stage IIIC1	0.643	0.0952287650303591	clinical_stage	1	0	UCEC	PC2
Stage IIIB	Stage IIIC2	0.604	0.105809738922621	clinical_stage	1	0	UCEC	PC2
Stage IIIB	Stage IV	0.352	0.337099931231621	clinical_stage	1	0	UCEC	PC2
Stage IIIB	Stage IVA	0.905	0.086066296582387	clinical_stage	1	0	UCEC	PC2
Stage IIIB	Stage IVB	0.682	0.084647791138097	clinical_stage	1	0	UCEC	PC2
Stage IIIC	Stage IIIC1	0.153	0.19644452131349	clinical_stage	1	0	UCEC	PC2
Stage IIIC	Stage IIIC2	0.314	0.138948563855883	clinical_stage	1	0	UCEC	PC2
Stage IIIC	Stage IV	0.142	0.251683520705259	clinical_stage	1	0	UCEC	PC2
Stage IIIC	Stage IVA	0.556	0.109562622522319	clinical_stage	1	0	UCEC	PC2
Stage IIIC	Stage IVB	0.349	0.129365904279616	clinical_stage	1	0	UCEC	PC2
Stage IIIC1	Stage IIIC2	0.789	0.0424635787724467	clinical_stage	1	0	UCEC	PC2
Stage IIIC1	Stage IV	0.429	0.167248402001418	clinical_stage	1	0	UCEC	PC2
Stage IIIC1	Stage IVA	0.906	0.0334496804002836	clinical_stage	1	0	UCEC	PC2
Stage IIIC1	Stage IVB	0.807	0.0389249472080761	clinical_stage	1	0	UCEC	PC2
Stage IIIC2	Stage IV	0.252	0.236935236168676	clinical_stage	1	0	UCEC	PC2
Stage IIIC2	Stage IVA	0.723	0.083624201000709	clinical_stage	1	0	UCEC	PC2
Stage IIIC2	Stage IVB	0.991	0.00353863156437056	clinical_stage	1	0	UCEC	PC2
Stage IV	Stage IVA	1	0	clinical_stage	1	0	UCEC	PC2
Stage IV	Stage IVB	0.389	0.18118576883487	clinical_stage	1	0	UCEC	PC2
Stage IVA	Stage IVB	0.969	0.0167248402001418	clinical_stage	1	0	UCEC	PC2
Endometrioid endometrial adenocarcinoma	Mixed serous and endometrioid	0.493	0.0331565095637927	histological_type	1	0	UCEC	PC2
Endometrioid endometrial adenocarcinoma	Serous endometrial adenocarcinoma	0.038	0.0907563751598663	histological_type	1	0	UCEC	PC2
Mixed serous and endometrioid	Serous endometrial adenocarcinoma	0.086	0.147465391505664	histological_type	1	0	UCEC	PC2
grade_G1	grade_G2	0.04	0.139325162598728	histological_grade	1	0	UCEC	PC2
grade_G1	grade_G3	0.007	0.133517330789019	histological_grade	1	0	UCEC	PC2
grade_G1	grade_High Grade	0.1	0.158021252259813	histological_grade	1	0	UCEC	PC2
grade_G2	grade_G3	0.771	0.0140055465629028	histological_grade	1	0	UCEC	PC2
grade_G2	grade_High Grade	0.4	0.0739573286099034	histological_grade	1	0	UCEC	PC2
grade_G3	grade_High Grade	0.367	0.0501601405754668	histological_grade	1	0	UCEC	PC2
Indeterminate (neither Pre or Postmenopausal)	Peri (6-12 months since last menstrual period)	0.496	0.121093848561122	menopause_status	1	0	UCEC	PC2
Indeterminate (neither Pre or Postmenopausal)	Post (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)	0.067	0.0853822100737631	menopause_status	1	0	UCEC	PC2
Indeterminate (neither Pre or Postmenopausal)	Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)	0.102	0.22858579707494	menopause_status	1	0	UCEC	PC2
Peri (6-12 months since last menstrual period)	Post (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)	0.342	0.0442196317426902	menopause_status	1	0	UCEC	PC2
Peri (6-12 months since last menstrual period)	Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)	0.394	0.120379502601596	menopause_status	1	0	UCEC	PC2
Post (prior bilateral ovariectomy OR >12 mo since LMP with no prior hysterectomy)	Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement)	0.856	0.00828963368208723	menopause_status	1	0	UCEC	PC2
Alive	Dead	0.008	0.113733899035354	vital_status.x	1	0	UCEC	PC2
	TUMOR FREE	0.115	0.0750727474899866	tumor_status	1	0	UCEC	PC2
	WITH TUMOR	0.618	0.0456746085790538	tumor_status	1	0	UCEC	PC2
TUMOR FREE	WITH TUMOR	0.002	0.137567845604939	tumor_status	0.7008	0.154405906839976	UCEC	PC2
	Distant Metastasis	0.37	0.0415175897095217	new_tumor_event_type	1	0	UCEC	PC2
	Locoregional Disease	0.426	0.0367459603880358	new_tumor_event_type	1	0	UCEC	PC2
	Locoregional Recurrence	0.215	0.0564441851934451	new_tumor_event_type	1	0	UCEC	PC2
	Metastatic	0.436	0.0354181665424996	new_tumor_event_type	1	0	UCEC	PC2
	New Primary Tumor	0.639	0.0217256349149731	new_tumor_event_type	1	0	UCEC	PC2
Distant Metastasis	Locoregional Disease	0.821	0.0562321557115533	new_tumor_event_type	1	0	UCEC	PC2
Distant Metastasis	Locoregional Recurrence	0.843	0.0370328039909021	new_tumor_event_type	1	0	UCEC	PC2
Distant Metastasis	Metastatic	0.724	0.0618455940960068	new_tumor_event_type	1	0	UCEC	PC2
Distant Metastasis	New Primary Tumor	0.809	0.0614657639802557	new_tumor_event_type	1	0	UCEC	PC2
Locoregional Disease	Locoregional Recurrence	1	0	new_tumor_event_type	1	0	UCEC	PC2
Locoregional Disease	Metastatic	0.845	0.03410781186194	new_tumor_event_type	1	0	UCEC	PC2
Locoregional Disease	New Primary Tumor	0.695	0.0898322254093854	new_tumor_event_type	1	0	UCEC	PC2
Locoregional Recurrence	Metastatic	0.828	0.0317474715733108	new_tumor_event_type	1	0	UCEC	PC2
Locoregional Recurrence	New Primary Tumor	0.761	0.0543745616680535	new_tumor_event_type	1	0	UCEC	PC2
Metastatic	New Primary Tumor	0.975	0.00783212401621198	new_tumor_event_type	1	0	UCEC	PC2
	Bone	0.096	0.0774572945123958	new_tumor_event_site	1	0	UCEC	PC2
	Brain	0.443	0.0358057873689247	new_tumor_event_site	1	0	UCEC	PC2
	Liver	0.974	0.00155481015509384	new_tumor_event_site	1	0	UCEC	PC2
	Lung	0.32	0.0457865051090172	new_tumor_event_site	1	0	UCEC	PC2
	Other, specify	0.181	0.0586885221011149	new_tumor_event_site	1	0	UCEC	PC2
Bone	Brain	0.2	0.774596669241483	new_tumor_event_site	1	0	UCEC	PC2
Bone	Liver	0.381	0.344265186329548	new_tumor_event_site	1	0	UCEC	PC2
Bone	Lung	0.295	0.298142396999972	new_tumor_event_site	1	0	UCEC	PC2
Bone	Other, specify	0.151	0.18298126367785	new_tumor_event_site	1	0	UCEC	PC2
Brain	Liver	0.643	0.235702260395516	new_tumor_event_site	1	0	UCEC	PC2
Brain	Lung	0.352	0.29277002188456	new_tumor_event_site	1	0	UCEC	PC2
Brain	Other, specify	0.329	0.126495154316441	new_tumor_event_site	1	0	UCEC	PC2
Liver	Lung	0.616	0.132453235706504	new_tumor_event_site	1	0	UCEC	PC2
Liver	Other, specify	0.647	0.0576566358075622	new_tumor_event_site	1	0	UCEC	PC2
Lung	Other, specify	0.656	0.053421730396336	new_tumor_event_site	1	0	UCEC	PC2
	Abdomen	0.119	0.0711422098515201	new_tumor_event_site_other	1	0	UCEC	PC2
	abdominal	0.221	0.0558042104798621	new_tumor_event_site_other	1	0	UCEC	PC2
	Abdominal Fluid	0.788	0.0124009356621916	new_tumor_event_site_other	1	0	UCEC	PC2
	abdominal wall	0.573	0.025780892560872	new_tumor_event_site_other	1	0	UCEC	PC2
	Anterior Abd. Mass	0.238	0.0538461680068845	new_tumor_event_site_other	1	0	UCEC	PC2
	Bladder nodule	0.416	0.0372028069865748	new_tumor_event_site_other	1	0	UCEC	PC2
	Bone, lymph nodes	0.148	0.0659207632569132	new_tumor_event_site_other	1	0	UCEC	PC2
	Bowel	0.475	0.0326340412162936	new_tumor_event_site_other	1	0	UCEC	PC2
	Breast	0.933	0.00391478104940145	new_tumor_event_site_other	1	0	UCEC	PC2
	Breast left	0.788	0.0124009356621916	new_tumor_event_site_other	1	0	UCEC	PC2
	Chest	0.535	0.0283916158581755	new_tumor_event_site_other	1	0	UCEC	PC2
	colorectal	0.67	0.0195804247297762	new_tumor_event_site_other	1	0	UCEC	PC2
	cul de sac mass	0.866	0.00783216989191047	new_tumor_event_site_other	1	0	UCEC	PC2
	endometrium	0.639	0.0214161551526079	new_tumor_event_site_other	1	0	UCEC	PC2
	inguinal lymph node	0.157	0.0646154016082614	new_tumor_event_site_other	1	0	UCEC	PC2
	Liver	0.761	0.0140326377230063	new_tumor_event_site_other	1	0	UCEC	PC2
	locally in the endometrium	0.793	0.0120745952500286	new_tumor_event_site_other	1	0	UCEC	PC2
	Lung, Liver, and Brain	0.115	0.071794890675846	new_tumor_event_site_other	1	0	UCEC	PC2
	Lung, liver, lymph nodes	0.969	0.00195804247297762	new_tumor_event_site_other	1	0	UCEC	PC2
	lymph nodes	0.42	0.0368764665744118	new_tumor_event_site_other	1	0	UCEC	PC2
	Lymph nodes	0.256	0.0518881255339069	new_tumor_event_site_other	1	0	UCEC	PC2
	lymph nodes and retroperitoneal tissue	0.471	0.0329603816284566	new_tumor_event_site_other	1	0	UCEC	PC2
	Lymph nodes, lung, bone	0.997	0.000326340412162936	new_tumor_event_site_other	1	0	UCEC	PC2
	omentum	0.211	0.0571095721285139	new_tumor_event_site_other	1	0	UCEC	PC2
	Paraaortic lymph node	0.664	0.0199067651419391	new_tumor_event_site_other	1	0	UCEC	PC2
	paraaortic lymph nodes	0.124	0.0701631886150313	new_tumor_event_site_other	1	0	UCEC	PC2
	Paraaortic retroperitoneal lymphnode	0.969	0.00195804247297762	new_tumor_event_site_other	1	0	UCEC	PC2
	Paracolic gutter	0.101	0.0747319543853124	new_tumor_event_site_other	1	0	UCEC	PC2
	Paravaginal mass involving the bladder and rectal walls	0.929	0.00424242535811817	new_tumor_event_site_other	1	0	UCEC	PC2
	pelvic mass	0.086	0.0783216989191047	new_tumor_event_site_other	1	0	UCEC	PC2
	peritoneum	0.644	0.0212121267905909	new_tumor_event_site_other	1	0	UCEC	PC2
	Peritoneum	0.633	0.0218648076149167	new_tumor_event_site_other	1	0	UCEC	PC2
	Porta Hepatis	0.42	0.0368764665744118	new_tumor_event_site_other	1	0	UCEC	PC2
	R external iliac node, presacral peritoneal implant, ascitic fluid	0.211	0.0571095721285139	new_tumor_event_site_other	1	0	UCEC	PC2
	Rectum	0.564	0.0264335733851979	new_tumor_event_site_other	1	0	UCEC	PC2
	Recurrent endometrial carcinoma in retriponeal lymphnodes	0.287	0.0486247214122775	new_tumor_event_site_other	1	0	UCEC	PC2
	Retroperitoneal LN; vulvar mass	0.53	0.0287179562703384	new_tumor_event_site_other	1	0	UCEC	PC2
	Retroperitoneal LNs	0.696	0.0179487226689615	new_tumor_event_site_other	1	0	UCEC	PC2
	Right Breast	0.905	0.00552674971680204	new_tumor_event_site_other	1	0	UCEC	PC2
	right pelvic mass	0.101	0.0747319543853124	new_tumor_event_site_other	1	0	UCEC	PC2
	Right Pelvic Mass	0.172	0.0623310187231209	new_tumor_event_site_other	1	0	UCEC	PC2
	Supraclavicular Fossa	0.436	0.0355711049257601	new_tumor_event_site_other	1	0	UCEC	PC2
	Supraclavicular lymphnodes	0.564	0.0264335733851979	new_tumor_event_site_other	1	0	UCEC	PC2
	uterine	0.29	0.0482983810001146	new_tumor_event_site_other	1	0	UCEC	PC2
	vagina	0.137	0.067702684030825	new_tumor_event_site_other	1	0	UCEC	PC2
	Vagina	0.672	0.0193436240088071	new_tumor_event_site_other	1	0	UCEC	PC2
	Vagina apex	0.454	0.0342657432771083	new_tumor_event_site_other	1	0	UCEC	PC2
	Vagina, apex	0.307	0.0466666789392999	new_tumor_event_site_other	1	0	UCEC	PC2
	Vaginal	0.372	0.0407925515203671	new_tumor_event_site_other	1	0	UCEC	PC2
	Vaginal Apex	0.144	0.066573444081239	new_tumor_event_site_other	1	0	UCEC	PC2
	vaginal cuff	0.497	0.0309600331357889	new_tumor_event_site_other	1	0	UCEC	PC2
	Vaginal cuff, iliac	0.127	0.0695105077907055	new_tumor_event_site_other	1	0	UCEC	PC2
	Vaginal Vault	0.238	0.0538461680068845	new_tumor_event_site_other	1	0	UCEC	PC2
	vaginal wall	0.432	0.035897445337923	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	abdominal	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Abdominal Fluid	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	abdominal wall	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Anterior Abd. Mass	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Bladder nodule	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Bone, lymph nodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Bowel	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Breast	0.667	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Breast left	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Chest	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	colorectal	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	cul de sac mass	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	endometrium	0.667	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	inguinal lymph node	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Liver	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	locally in the endometrium	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Lung, Liver, and Brain	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Lung, liver, lymph nodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	lymph nodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Lymph nodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	lymph nodes and retroperitoneal tissue	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Lymph nodes, lung, bone	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	omentum	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Paraaortic lymph node	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	paraaortic lymph nodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Paraaortic retroperitoneal lymphnode	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Paracolic gutter	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Paravaginal mass involving the bladder and rectal walls	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	pelvic mass	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	peritoneum	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Peritoneum	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Porta Hepatis	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	R external iliac node, presacral peritoneal implant, ascitic fluid	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Rectum	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Recurrent endometrial carcinoma in retriponeal lymphnodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Retroperitoneal LN; vulvar mass	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Retroperitoneal LNs	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Right Breast	0.667	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	right pelvic mass	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Right Pelvic Mass	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Supraclavicular Fossa	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Supraclavicular lymphnodes	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	uterine	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	vagina	0.667	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Vagina	0.667	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Vagina apex	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Vagina, apex	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Vaginal	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	Vaginal Apex	1	0.707106781186547	new_tumor_event_site_other	1	0	UCEC	PC2
Abdomen	vaginal cuff	0.5	0.670820393249937	new_tumor_event_site_other	1	0	UCEC	PC2
